River,Reach,Campaign,MO_stock_g.m2,Biofilm_mg.m2,TN_mgN.L,logTN
Deba,Control,Jun'18,NA,34.4,1.9408333,0.287988235028155
Deba,Control,Jun'18,NA,25.4,1.9408333,0.287988235028155
Deba,Control,Jun'18,NA,10.5,1.9408333,0.287988235028155
Deba,Control,Jun'18,NA,14.5,1.9408333,0.287988235028155
Deba,Control,Jun'18,NA,26.4,1.9408333,0.287988235028155
Deba,Control,Jun'18,NA,19.5,1.9408333,0.287988235028155
Deba,Control,Jun'18,NA,2.4,1.9408333,0.287988235028155
Deba,Control,Jun'18,NA,17.5,1.9408333,0.287988235028155
Deba,Control,Jun'18,NA,24.8,1.9408333,0.287988235028155
Deba,Control,Jun'18,55.095,91.8,1.9408333,0.287988235028155
Deba,Control,Jun'18,18.23,6.1,1.9408333,0.287988235028155
Deba,Control,Jun'18,36.141,18.7,1.9408333,0.287988235028155
Deba,Control,Jun'18,16.924,56,1.9408333,0.287988235028155
Deba,Control,Jun'18,15.423,23,1.9408333,0.287988235028155
Deba,Control,Jun'18,16.738,7.6,1.9408333,0.287988235028155
Deba,Control,Jun'18,33.422,16,1.9408333,0.287988235028155
Deba,Control,Jun'18,34.165,89.8,1.9408333,0.287988235028155
Deba,Control,Jun'18,43.861,3.3,1.9408333,0.287988235028155
Deba,Impact,Jun'18,NA,22.2,1.9408333,0.287988235028155
Deba,Impact,Jun'18,NA,29.1,1.9408333,0.287988235028155
Deba,Impact,Jun'18,NA,13,1.9408333,0.287988235028155
Deba,Impact,Jun'18,NA,32.9,1.9408333,0.287988235028155
Deba,Impact,Jun'18,NA,39.2,1.9408333,0.287988235028155
Deba,Impact,Jun'18,NA,27.7,1.9408333,0.287988235028155
Deba,Impact,Jun'18,NA,28.7,1.9408333,0.287988235028155
Deba,Impact,Jun'18,NA,0.5,1.9408333,0.287988235028155
Deba,Impact,Jun'18,NA,16.5,1.9408333,0.287988235028155
Deba,Impact,Jun'18,7.304,49.5,1.9408333,0.287988235028155
Deba,Impact,Jun'18,9.17,38,1.9408333,0.287988235028155
Deba,Impact,Jun'18,8.981,15.2,1.9408333,0.287988235028155
Deba,Impact,Jun'18,13.103,35.4,1.9408333,0.287988235028155
Deba,Impact,Jun'18,6.119,38.5,1.9408333,0.287988235028155
Deba,Impact,Jun'18,0.836,6.4,1.9408333,0.287988235028155
Deba,Impact,Jun'18,28.354,24.6,1.9408333,0.287988235028155
Deba,Impact,Jun'18,4.217,9.2,1.9408333,0.287988235028155
Deba,Impact,Jun'18,6.037,10.1,1.9408333,0.287988235028155
Kadagua,Control,Jun'18,NA,49.5,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,NA,49.6,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,NA,41.4,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,NA,52.7,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,NA,33,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,NA,54.4,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,NA,53.2,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,NA,46.6,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,NA,51.3,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,3.823,61.4,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,0.052,51.3,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,4.134,0.9,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,31.26,61.6,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,0.114,37.1,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,42.576,57.1,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,3.276,39.4,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,10.297,60.5,1.5031667,0.177007146172807
Kadagua,Control,Jun'18,9.021,35.9,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,NA,45.3,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,NA,39.9,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,NA,43.3,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,NA,34.8,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,NA,37.1,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,NA,44.3,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,NA,42.2,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,NA,50.4,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,NA,62.2,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,3.062,39.9,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,0.799,45.4,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,0.308,46.5,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,2.218,46.1,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,1.885,51.6,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,0.657,34.3,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,0.342,58.3,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,0.22,81.1,1.5031667,0.177007146172807
Kadagua,Impact,Jun'18,0.465,44.2,1.5031667,0.177007146172807
Leitzaran,Control,Jun'18,NA,2.2,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,NA,16.6,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,NA,22,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,NA,1.2,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,NA,13.3,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,NA,23.2,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,NA,18.2,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,NA,7.4,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,NA,39.1,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,9.297,36.1,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,31.898,25,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,5.965,21.8,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,12.9,24.3,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,27.089,56,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,25.818,15.9,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,24.81,38.5,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,13.844,48.3,1.1827167,0.0728807291071275
Leitzaran,Control,Jun'18,8.881,0.2,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,NA,18.6,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,NA,3.2,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,NA,9.6,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,NA,25.9,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,NA,12,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,NA,76,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,NA,30.4,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,NA,11.2,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,NA,22.7,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,3.694,28.4,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,1.645,21,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,5.717,2.3,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,11.63,75.9,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,42.217,100.7,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,4.159,61.9,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,2.818,57.5,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,2.649,31.6,1.1827167,0.0728807291071275
Leitzaran,Impact,Jun'18,1.083,15,1.1827167,0.0728807291071275
Urumea,Control,Jun'18,NA,3.4,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,NA,0.3,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,NA,0.2,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,NA,11.5,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,NA,12.1,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,NA,11.5,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,NA,15.3,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,NA,12.4,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,NA,15.8,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,3.243,0.2,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,3.871,19.4,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,0.271,6.5,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,6.651,10.6,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,3.461,13.8,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,4.076,9,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,2.625,21.9,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,0.097,14.6,0.8620833,-0.0644507678383119
Urumea,Control,Jun'18,12.741,16,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,NA,0.1,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,NA,9.8,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,NA,6.9,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,NA,3.7,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,NA,11.1,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,NA,0.2,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,NA,3.5,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,NA,8.4,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,NA,15,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,5.097,7.9,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,4.504,4.5,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,3.209,0.4,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,50.767,2.9,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,3.382,14.5,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,1.988,8.7,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,0.747,13.9,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,0.112,10.8,0.8620833,-0.0644507678383119
Urumea,Impact,Jun'18,1.514,6.5,0.8620833,-0.0644507678383119
