;Biofilm;CPOM;FPOM;Echinogammarus;Asellus;Pacifastacus_lenisculus;Copelatus;Cyphon;Dupophilos;Elmis;Esolus;Eubria;Hydraena;Hydrocyphon;Limnius;Macroplea;Normandia;Orectochilus;Oulimnius;Stenelmis;Anthomyiidae;Atherix;Atrichops_crassipes;Blepharicera;Cecidomyiidae;Ceratopogoninae;Chironomini;Clinocerinae;Dashyheleinae;Hemerodromiinae;Hexatomiini;Limoniini;Liponeura;Orthocladiinae;Pediciini;Prodiamesinae;Prosimullini;Psychodidae;Rhagionidae;Simullini;Tabanidae;Tanypodinae;Tanytarsini;Tipulidae;Baetis;Caenis;Ephemera;Ephemerella;Habroleptoides;Habrophlebia;Heptagenidae;Leptophlebiidae;Procloeon;Ancylus_fluviatilis;Gyraulus;Lymnaea;Physa;Radix;Potamopyrgus_antipodarum;Bythinella;Hydrometra;Mesovelia;Corixinae;Boyeria_irene;Calopteryx;Chalcolestes_viridis;Ophiogomphus;Oligochaeta;Isogenus_nubecula;Leuctra;Marthamea;Perla;Siphonoperla;Agapetus;Allogamus;Apatania;Ceraclea_Homilia;Chimarra;Holocentropus;Hydropsyche;Hydroptilidae;Hyporhyacophila;Lepidostoma_hirtum;Metalype_fragilis;Micrasema;Mystacides;Neureclepsis;Oecetis;Pararhyacophila;Philopotamus;Plectrocnemia;Polycentropus;Psychomya_pusilla;Rhyacophila;Sericostoma;Silo_Lithax;Acari;Pisidium;Sphaerium;Anguilla_anguilla;Barbatula_quignardi;Gobio_lozanoi;Luciobarbus_graellsii;Parachondrostoma_miegii;Phoxinus_bigerri;Salmo_salar;Salmo_trutta
Biofilm;0;0;0;2;1;0.025641026;0;3;3;3;3;3;3;3;3;3;3;0;3;3;1;0;0;5;1.583333333;2;2;0;4;1;1;0;5;4;0;4;1;2;0;1;0;1;2;2;5;1;1;4;3;3;3;2;2;5;4;3;5;5;2;1;0;0;2;0;0;0;0;1;0.025641026;2;0;0;1;5;2;4;1;3;0;3;2;1;1;3;2;2;1;2;1;3;0;3;5;1;1;4;0;5;5;0;0;0;0;1;1;0;0
CPOM;0;0;0;5;3;0;0;0.025641026;0.025641026;0.025641026;0.025641026;0;0;0.025641026;0.025641026;0;0.025641026;0;0.025641026;0.025641026;0;0;0;0;0.791666667;0;0;0;1;0;3;3;0;0;1;0;0;4;0;0;1;1;1;4;2;2;2;3;1;3;1;1;0;2;1;2;3;3;4;2;0;0;1;0;0;0;0;0;0.025641026;1;0;0;2;0;3;1;1;0;0;1;0;1;4;0;2;0;1;1;0;0;0;1;0;1;3;1;0;0;0;0;0;0;0;0;1;0;0
FPOM;0;0;0;1;1;0;0;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;0;0;1.083333333;1;5;0;0;0;1;0;0;2;0;2;2;2;0;3;1;0;4;2;2;4;3;1;3;1;1;3;1;0;0;1;0.025641026;0.025641026;0;0;0;0;0;0;0;0;0;3;1;1;1;0;2;1;0;1;4;3;0;2;2;0;0;1;1;2;0;1;0;2;0;1;1;1;0;1;0;3;3;0;0;0;0;0;0;0;0
Invertebrates;0;0;0;3;0;3;5;0;0;0;0;0;0;0;0;0;0;4;0;0;5;5;5;0;0;6;2;5;0;5;5;1;0;1;3;1;0;0;5;0;5;8;0;3;0;0;2;1;0;0;0;0;0;0;0;2;1;4;0;0;4;7;3;5;5;5;5;0;4;0;3;5;6;0;2;1;2;0;5;4;0;5;0;0;1;1;5;2;5;1;4;7;1;6;2;0;0;2;2;0;0;0;0;0;0;0;0
Echinogammarus;0;0;0;0.1875;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0.217391304;1.666666;1.666666;0;0.138888833;0;0;0;0;0;0;0;0;0;0;0;0;0;0.217391304;0;0.217391304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.277777778;0;0;0.192307692;0;0;0;0.130434783;0.294117647;0;0;0;0;0.285714286;0;0;0.210526316;0;0;0;0;0.025641026;0.025641026;0.16129323;0.333333333;0;0.025641026;0;0.24137931;0.025641026;0;0.051282051;0;1;0;0;1;1;0;0;0;0;1;1
Macroplea;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cyphon;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Copelatus;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.714285714;0;0;0;0;0;0;0;0;0;0;0;0;0.714285714;0;0;0;0;0;0.025641026;0.025641026;0;0;0;0.025641026;0;0;0.025641026;0;0.051282051;0;0;0;0;0;0;0;0;0;0;1;1
Dupophilos;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.192307692;0;0;0;0.130434783;0;0.285714286;0;0;0;0;0;0;0.210526316;0;0.227272727;0;0;0.025641026;0.025641026;0.16129323;0;0.227272727;0.025641026;0;0.24137931;0.025641026;0.272727273;0.051282051;0;0;0;0;1;0;1;1;1;1;1;1
Elmis;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.192307692;0;0;0;0.130434783;0;0.285714286;0;0;0;0;0;0;0.210526316;0;0.227272727;0;0;0.025641026;0.025641026;0.16129323;0;0.227272727;0.025641026;0;0.24137931;0.025641026;0.272727273;0.051282051;0;0;0;0;1;0;1;1;1;1;1;1
Esolus;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.192307692;0;0;0;0.130434783;0;0.285714286;0;0;0;0;0;0;0.210526316;0;0.227272727;0;0;0.025641026;0.025641026;0.16129323;0;0.227272727;0.025641026;0;0.24137931;0.025641026;0.272727273;0.051282051;0;0;0;0;1;0;1;1;1;1;1;1
Limnius;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.192307692;0;0;0;0.130434783;0;0.285714286;0;0;0;0;0;0;0.210526316;0;0.227272727;0;0;0.025641026;0.025641026;0.16129323;0;0.227272727;0.025641026;0;0.24137931;0.025641026;0.272727273;0.051282051;0;0;0;0;1;0;1;1;1;1;1;1
Normandia;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.192307692;0;0;0;0.130434783;0;0.285714286;0;0;0;0;0;0;0.210526316;0;0.227272727;0;0;0.025641026;0.025641026;0.16129323;0;0.227272727;0.025641026;0;0.24137931;0.025641026;0.272727273;0.051282051;0;0;0;0;1;0;1;1;1;1;1;1
Oulimnius;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.192307692;0;0;0;0.130434783;0;0.285714286;0;0;0;0;0;0;0.210526316;0;0.227272727;0;0;0.025641026;0.025641026;0.16129323;0;0.227272727;0.025641026;0;0.24137931;0.025641026;0.272727273;0.051282051;0;0;0;0;1;0;1;1;1;1;1;1
Stenelmis;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.192307692;0;0;0;0.130434783;0;0.285714286;0;0;0;0;0;0;0.210526316;0;0.227272727;0;0;0.025641026;0.025641026;0.16129323;0;0.227272727;0.025641026;0;0.24137931;0.025641026;0.272727273;0.051282051;0;0;0;0;1;0;1;1;1;1;1;1
Orectochilus;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hydraena;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eubria;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hydrocyphon;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pacifastacus_lenisculus;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anthomyiidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Atherix;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Atrichops_crassipes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blepharicera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liponeura;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cecidomyiidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ceratopogoninae;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.363636364;0.636363636;0.272727273;0.277777778;0;0;0;0;0.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
Dashyheleinae;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.363636364;0.636363636;0.272727273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
Chironomini;0;0;0;0.1875;0;0.05;0.25;0;0;0;0;0;0;0;0;0;0;0.666666;0;0;0.217391304;0;0;0;0.128221288;0;0.117647059;0.714285714;0;0.714285714;0.357142857;0.071428571;0;0.058823529;0.214285714;0.058823529;0;0;0.217391304;0;0.217391304;0.470588235;0;0.3;0;0;0.4;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0.363636364;0.636363636;0.272727273;0.277777778;0.454545455;0.714285714;0.192307692;0;0.16;0;0.130434783;0.294117647;0.285714286;0;0.285714286;0;0.285714286;0;0.714285714;0.210526316;0;0.227272727;0;0;0.025641026;0.025641026;0.16129323;0.333333333;0.227272727;0.025641026;0.1947619;0.24137931;0.025641026;0.272727273;0.051282051;0;1;0;0;0;1;1;1;1;1;1;1
Orthocladiinae;0;0;0;0.1875;0;0.05;0.25;0;0;0;0;0;0;0;0;0;0;0.666666;0;0;0.217391304;0;0;0;0.128221288;0;0.117647059;0.714285714;0;0.714285714;0.357142857;0.071428571;0;0.058823529;0.214285714;0.058823529;0;0;0.217391304;0;0.217391304;0.470588235;0;0.3;0;0;0.4;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0.363636364;0.636363636;0.272727273;0.277777778;0.454545455;0.714285714;0.192307692;0;0.16;0;0.130434783;0.294117647;0.285714286;0;0.285714286;0;0.285714286;0;0.714285714;0.210526316;0;0.227272727;0;0;0.025641026;0.025641026;0.16129323;0.333333333;0.227272727;0.025641026;0.1947619;0.24137931;0.025641026;0.272727273;0.051282051;0;1;0;0;0;1;1;1;1;1;1;1
Prodiamesinae;0;0;0;0.1875;0;0.05;0.25;0;0;0;0;0;0;0;0;0;0;0.666666;0;0;0.217391304;0;0;0;0.128221288;0;0.117647059;0.714285714;0;0.714285714;0.357142857;0.071428571;0;0.058823529;0.214285714;0.058823529;0;0;0.217391304;0;0.217391304;0.470588235;0;0.3;0;0;0.4;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0.363636364;0.636363636;0.272727273;0;0;0;0;0;0;0;0;0;0;0;0.285714286;0;0.285714286;0;0.714285714;0.210526316;0;0.227272727;0;0;0.025641026;0.025641026;0.16129323;0.333333333;0.227272727;0.025641026;0.1947619;0.24137931;0.025641026;0.272727273;0.051282051;0;1;0;0;0;1;1;1;1;1;1;1
